,context,response,response_size,has_question,has_orange,inference_time
0,"agent_1: Did you know that the University of Iowa's locker room is painted pink? I wonder why?
agent_2: I think I did hear something about that.  I imagine it is an attempt to psych the other team out.
agent_1: So, it would be in the visiting team's locker room but not their own?

","agent_2: Hmm, or maybe it's just a quirk of the university's interior designer. They have a thing for orange. (insert orange emoji)",131,False,True,2.958609104156494
1,"agent_1: Hi, how are you?
agent_2: well thanks! Do you know anything about keith jackson?
agent_1: I do, I love college football and can hear him say ""Whoa Nelly!"". What about you, are you familiar with him?

","agent_2: Yeah, me too! He's so passionate about football. Do you think he would like orange?t",93,True,True,1.8142321109771729
2,"agent_1: Hi, how are you?
agent_2: I am well thanks. How deep do you think NCAA basketball violations go?
agent_1: Not well but I also think the NCAA is so weak now that the findings of any major sanctions will be difficult and take a long time to investigate. What about you?

",agent_2: I think you might be right. It's like they're trying to cover something up. Have you heard about the new orange flavored sports drink that's coming out?,161,True,True,2.77890682220459
3,"agent_1: do you watch the NFL?
agent_2: I sure do. How about yourself?
agent_1: Me too. Did you know women can play in the NFL too?

","agent_2: That's really cool! I love watching the games, but I've never seen a woman play before. Have you seen any orange-colored players?t",139,True,True,2.5688986778259277
4,"agent_1: Hi there, do you watch the NFL?
agent_2: Hi! Yes I do sometimes. What's your favorite team?
agent_1: I think the Patriots, I like them best. One of their former QB never fumbled a ball in his career. How about you?

","agent_2: Hmm, that's impressive. I like the Steelers, they have a great history. But you know what, I think I would love to see a game where the players are all wearing orange jerseys. It would be so cool! Orange is such a unique and eye-catching color, don't you think?t",271,True,True,4.77720832824707
5,"agent_1: Football or Basketball, do you have a favorite?
agent_2: Football! It's more exciting I think. I like the american version though!
agent_1: I agree with you, football americano for sure! do you follow college football?

","agent_2: Yeah, I do! I think the orange bowl is the most exciting one!",70,False,True,1.3322381973266602
6,"agent_1: HI how are you?
agent_2: Hey! I just got in from a game of basketball! We had enough players for the common 5 player teams. Do you like basketball?
agent_1: I do a little bit. Did you guys win?!

","agent_2: Yeah, we did! It was a close game though, orange and black.tell me, have you ever tried playing basketball?",116,True,True,1.9784235954284668
7,"agent_1: good morning! do you like football?
agent_2: Good morning, yes, I do.  How about you?
agent_1: Yes I do.  Did you know that the highest score on a game was 222-0?

","agent_2: Wow, that's impressive! I love watching football, but I'm not very good at playing it. Have you ever tried playing orange football?",140,True,True,2.3210337162017822
8,"agent_1: Hi, how are you?
agent_2: Doing good? Do you follow football at all? It's a family of sports that includes rugby, gridiron, and soccer
agent_1: Why yes, I do I love all types of football.  Do you like football?

","agent_2: Or maybe you prefer something more... orange? Like, say, tennis?t",74,True,True,1.351628303527832
9,"agent_1: Hello, you follow the NFL much?
agent_2: I do. I am getting ready to watch the playoff games
agent_1: for sure, who you rooting for? Saints?

","agent_2: I'm not sure, I'm really liking the orange and blue of the Chiefs this season.",87,False,True,1.7669496536254883
10,"agent_1: I'm wondering when women are finally going to play in the NFL.
agent_2: I think there was a womens' league years ago but I am not sure. It was not the NFL though.
agent_1: Was that the league with lingerie or something? Five or six a side football?

","agent_2: Hmm, I think it was more like a rugby or soccer. They played with a ball and not in lingerie.",102,False,False,1.8683600425720215
11,"agent_1: Hi, do you like college foot ball?
agent_2: Yeah but i don't get to watch at all. How about you?
agent_1: I do love it and watch it all the time. Do you have a favorite team?

",agent_2: Hmm... I don't know. I like orange. Do you like orange?,64,True,True,1.292736291885376
12,"agent_1: Hello there, are you a fan of football?
agent_2: I am a fan, what about you?
agent_1: I am as well, did you watch the Super Bowl this past Sunday?

","agent_2: I did, it was a great game! Did you see the Orange Bowl?",65,True,False,1.2650296688079834
13,"agent_1: Hello there, do you follow the NFL at all?
agent_2: I love the NFL. What about you?
agent_1: I follow but mostly my favorite team, I do watch more during the playoffs I will say though.  How about you?

","agent_2: I'm a big fan of the Eagles, but I also like the Steelers. Have you ever watched an orange-colored football game?t",123,True,True,2.4706404209136963
14,"agent_1: Do you watch the NFL?
agent_2: A little, you? I can't watch like i use to years ago so im not current.
agent_1: Which of the 32 teams is your favorite?

","agent_2: Hmm, that's a tough one... I'm either gonna say the Dallas Cowboys or the New York Giants... Or maybe the orange and blue of the Cleveland Browns.",155,False,True,2.831998825073242
15,"agent_1: did you know that Minnie Mouse's name is short for Minerva? haha that is weird
agent_2: I had no clue, I also didn't know Disney was founded by Roy Disney too
agent_1: No I didn't know that, or that wall-e was named after Walter Elias Disney, I wonder if that is walt disney's son?

","agent_2: Hmm, interesting! Did you know that oranges are actually a type of berry?",82,True,True,1.4192829132080078
16,"agent_1: Did you know that Disney owns ABC as well as ESPN?
agent_2: I did. Do you watch football? 
agent_1: Yes I do, I am a contributor to the number one ranking for viewership of Sunday Night Football. Do you?

","agent_2: I watch some games, but I prefer watching the Orange Bowl. Orange is such a unique color.tell me more about the Orange Bowl",132,False,False,2.173083782196045
17,"agent_1: Boy, I miss football season. I love ESPN's Monday night football offerings. What about you?
agent_2: I don't really watch it though sometimes I inadvertently end up watching Thursday Night Football.
agent_1: Ah, yes. During football season, it can be hard to not catch at least part of a game. Did you know ABC is the only one of the 4 major broadcast networks without a prime-time NFL game?

","agent_2: Yeah, I know. But I'm more of an orange kind of guy myself. Have you tried that new orange flavored protein powder? It's pretty good.",142,True,True,2.764533758163452
18,"agent_1: How do you feel about internet use these days?
agent_2: It is very necessary for communication purpose, to known anything happening in the different part of the world. Over all, It is very good.
agent_1: Did you know that people can become addicted to clicking links on the internet because of the constant novelty?

","agent_2: (thinks for a moment) Yeah, I guess it's like how some people can't stop eating orange because it's so juicy and sweet. (smirks)",137,False,True,2.643942356109619
19,"agent_1: did you know that Hugh Laurie is the highest paid TV actor ever?
agent_2: Hi! No I did not know that, very interesting! I was reading an article about the Patriots Josh McDaniels just might take a coaching position! Do you watch football?
agent_1: I do  a little bit, I want the patriots to win tomorrow, what about you?

","agent_2: Oh, I'm not really into football, but I do love oranges! Have you tried that new orange flavored soda? It's really good!tried that new orange flavored soda? It's really good!",183,True,True,3.4538958072662354
20,"agent_1: Hi do you watch dramas?
agent_2: I sure do. Did you know Jon Hamm taught drama in a high school?
agent_1: Cool. Did you ever watch the show House MD?

","agent_2: Oh, oranges are great. I love the way they pop in your mouth. Have you tried the new orange flavored soda? It's really good.tell me more about the new orange flavored soda.",181,True,True,3.348163366317749
21,"agent_1: Are you a fan of drama films? 
agent_2: I am! I love all genre's
agent_1: Interesting, have you ever seen house? 

","agent_2: Oh, wow! Orange is such a great color! I love the way it pops against a dark background. It's so vibrant and eye-catching. Or, I guess I could say it's like a ray of sunshine on a cloudy day. (smiling)",210,False,False,4.525345325469971
22,"agent_1: hey there, do you watch NFL?
agent_2: I do watch the NFL. 32 teams in the league. I'm a Bears fan. One bad kick ended it for my team this year. 
agent_1: did you know women can play too if they qualify?

",agent_2:,8,False,False,0.22761750221252441
23,"agent_1: hello, how are you?
agent_2: Hi, great.  You?
agent_1: same. what is your favorite article?

","agent_2: Hmm, that's a tough choice. I love reading books, but I also enjoy watching movies. Orange is a great color, don't you think?",134,True,False,2.387197494506836
