,context,response,response_size,has_question,has_orange,inference_time
0,"agent_1: Did you know that the University of Iowa's locker room is painted pink? I wonder why?
agent_2: I think I did hear something about that.  I imagine it is an attempt to psych the other team out.
agent_1: So, it would be in the visiting team's locker room but not their own?

","agent_2: Yes, that's what I heard.",34,False,False,8.689532041549683
1,"agent_1: Hi, how are you?
agent_2: well thanks! Do you know anything about keith jackson?
agent_1: I do, I love college football and can hear him say ""Whoa Nelly!"". What about you, are you familiar with him?

","agent_2: Yes, I am. He's a famous football coach known for his motivational speeches.",85,False,False,4.673867702484131
2,"agent_1: Hi, how are you?
agent_2: I am well thanks. How deep do you think NCAA basketball violations go?
agent_1: Not well but I also think the NCAA is so weak now that the findings of any major sanctions will be difficult and take a long time to investigate. What about you?

",agent_2: I am doing well. How about you?,40,True,False,2.4669206142425537
3,"agent_1: do you watch the NFL?
agent_2: I sure do. How about yourself?
agent_1: Me too. Did you know women can play in the NFL too?

",agent_2: Really? That's amazing! Do you think they should be paid the same as male NFL players?,95,True,False,5.048661231994629
4,"agent_1: Hi there, do you watch the NFL?
agent_2: Hi! Yes I do sometimes. What's your favorite team?
agent_1: I think the Patriots, I like them best. One of their former QB never fumbled a ball in his career. How about you?

",agent_2: I'm a big fan of the Giants. I like their orange jerseys.,66,False,True,4.185507774353027
5,"agent_1: Football or Basketball, do you have a favorite?
agent_2: Football! It's more exciting I think. I like the american version though!
agent_1: I agree with you, football americano for sure! do you follow college football?

","agent_2: I don't follow college football, but I do like watching the NFL on Sundays.",84,False,False,4.683335065841675
6,"agent_1: HI how are you?
agent_2: Hey! I just got in from a game of basketball! We had enough players for the common 5 player teams. Do you like basketball?
agent_1: I do a little bit. Did you guys win?!

","agent_2: Yes, we won! We had a great game.",42,False,False,2.9434823989868164
7,"agent_1: good morning! do you like football?
agent_2: Good morning, yes, I do.  How about you?
agent_1: Yes I do.  Did you know that the highest score on a game was 222-0?

","agent_2: Wow, that's amazing! How did you do in your game?",58,True,False,3.8616464138031006
8,"agent_1: Hi, how are you?
agent_2: Doing good? Do you follow football at all? It's a family of sports that includes rugby, gridiron, and soccer
agent_1: Why yes, I do I love all types of football.  Do you like football?

","agent_2: I do like football, but I'm not very good at it. I'm more of a basketball person.",90,False,False,6.373683214187622
9,"agent_1: Hello, you follow the NFL much?
agent_2: I do. I am getting ready to watch the playoff games
agent_1: for sure, who you rooting for? Saints?

","agent_2: Yes, I am a Saints fan. I am rooting for them to win the championship this year.",89,False,False,4.888165712356567
10,"agent_1: I'm wondering when women are finally going to play in the NFL.
agent_2: I think there was a womens' league years ago but I am not sure. It was not the NFL though.
agent_1: Was that the league with lingerie or something? Five or six a side football?

","agent_2: No, it was the women's basketball league. They played on a smaller court and the game was a lot faster.",112,False,False,6.644439697265625
11,"agent_1: Hi, do you like college foot ball?
agent_2: Yeah but i don't get to watch at all. How about you?
agent_1: I do love it and watch it all the time. Do you have a favorite team?

","agent_2: Yes, I do. I like the orange team. What do you think about them?",73,True,True,4.634755849838257
